,idx,lat,lon,location_type,types
5738,114611,40.6307788,-73.9716439,GEOMETRIC_CENTER,['intersection']
5739,114639,40.8332646,-73.8603522,GEOMETRIC_CENTER,['intersection']
5740,114681,40.6265299,-74.1604712,GEOMETRIC_CENTER,['intersection']
5741,114714,40.7506766,-73.9855374,ROOFTOP,['street_address']
5742,114717,40.7943069,-73.95480049999999,GEOMETRIC_CENTER,['intersection']
5743,114723,40.7059731,-73.8227165,GEOMETRIC_CENTER,['intersection']
5744,114760,40.6938975,-73.8121319,GEOMETRIC_CENTER,['intersection']
5745,114898,40.7602147,-73.8285363,ROOFTOP,"['establishment', 'food', 'point_of_interest', 'restaurant']"
5746,114940,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5747,114946,40.7199565,-73.9442461,GEOMETRIC_CENTER,['intersection']
5748,114948,40.8216989,-73.9301246,ROOFTOP,['street_address']
5749,114952,40.6407176,-73.7433452,GEOMETRIC_CENTER,['intersection']
5750,114968,40.8550042,-73.8334442,GEOMETRIC_CENTER,['intersection']
5751,114985,40.7474559,-73.8536876,GEOMETRIC_CENTER,['intersection']
5752,115026,40.7513473,-73.9410795,GEOMETRIC_CENTER,['route']
5753,115034,40.8433681,-73.83694609999999,GEOMETRIC_CENTER,['intersection']
5754,115045,40.831368,-73.8681553,GEOMETRIC_CENTER,['route']
5755,115129,40.7480973,-73.9564142,ROOFTOP,"['establishment', 'general_contractor', 'point_of_interest']"
5756,115156,40.8571037,-73.85618749999999,GEOMETRIC_CENTER,['intersection']
5757,115222,40.8873886,-73.8935728,GEOMETRIC_CENTER,['intersection']
5758,115222,40.8865214,-73.8955573,GEOMETRIC_CENTER,['intersection']
5759,115238,40.7021076,-73.9420555,ROOFTOP,['premise']
5760,115264,40.7612836,-74.0019737,GEOMETRIC_CENTER,['intersection']
5761,115269,40.8677238,-73.8842378,ROOFTOP,['street_address']
5762,115336,40.85684029999999,-73.88079929999999,GEOMETRIC_CENTER,['intersection']
5763,115341,40.7480473,-73.9919328,ROOFTOP,['premise']
5764,115346,40.856701,-73.8693195,GEOMETRIC_CENTER,['intersection']
5765,115351,40.8843773,-73.8871329,GEOMETRIC_CENTER,['intersection']
5766,115362,40.6572983,-73.8990572,GEOMETRIC_CENTER,['intersection']
